timestamp,session_id,module,event_type,severity,error_code,message
2026-08-01T06:01:23.278000,fb47b3b1,bluetooth,connect_attempt,INFO,,bluetooth connect attempt
2026-08-01T06:01:23.470000,fb47b3b1,bluetooth,handshake,INFO,,bluetooth handshake
2026-08-01T06:01:23.779000,fb47b3b1,bluetooth,error,ERROR,E-BT-207,Bluetooth signal lost during active session
2026-08-01T06:01:26.007000,fb47b3b1,bluetooth,reconnect,WARN,,bluetooth attempting reconnect after error E-BT-207
2026-08-01T06:01:32.631000,1984b598,bluetooth,connect_attempt,INFO,,bluetooth connect attempt
2026-08-01T06:01:33.138000,1984b598,bluetooth,error,ERROR,E-BT-104,Bluetooth pairing handshake timed out after 30s
2026-08-01T06:01:35.477000,1984b598,bluetooth,reconnect,WARN,,bluetooth attempting reconnect after error E-BT-104
2026-08-01T06:02:52.533000,326c127f,infotainment_boot,power_on,INFO,,infotainment_boot power on
2026-08-01T06:02:52.746000,326c127f,infotainment_boot,kernel_init,INFO,,infotainment_boot kernel init
2026-08-01T06:02:53.510000,326c127f,infotainment_boot,services_started,INFO,,infotainment_boot services started
2026-08-01T06:02:53.992000,326c127f,infotainment_boot,ui_ready,INFO,,infotainment_boot ui ready
2026-08-01T06:03:39.136000,934fc4cb,infotainment_boot,power_on,INFO,,infotainment_boot power on
2026-08-01T06:03:40.014000,934fc4cb,infotainment_boot,error,ERROR,E-BOOT-092,Display controller failed self-test on boot
2026-08-01T06:03:41.922000,934fc4cb,infotainment_boot,reconnect,WARN,,infotainment_boot attempting reconnect after error E-BOOT-092
2026-08-01T06:05:01.719000,313dbba0,infotainment_boot,power_on,INFO,,infotainment_boot power on
2026-08-01T06:05:02.239000,313dbba0,infotainment_boot,kernel_init,INFO,,infotainment_boot kernel init
2026-08-01T06:05:02.838000,313dbba0,infotainment_boot,services_started,INFO,,infotainment_boot services started
2026-08-01T06:05:03.015000,313dbba0,infotainment_boot,ui_ready,INFO,,infotainment_boot ui ready
2026-08-01T06:07:03.656000,160f162f,cloud_sync,connect_attempt,INFO,,cloud_sync connect attempt
2026-08-01T06:07:03.902000,160f162f,cloud_sync,auth_handshake,INFO,,cloud_sync auth handshake
2026-08-01T06:07:04.673000,160f162f,cloud_sync,sync_started,INFO,,cloud_sync sync started
2026-08-01T06:07:04.915000,160f162f,cloud_sync,error,ERROR,E-CLOUD-423,Cloud sync failed: backend returned 503
2026-08-01T06:08:45.203000,60387067,infotainment_boot,power_on,INFO,,infotainment_boot power on
2026-08-01T06:08:45.356000,60387067,infotainment_boot,kernel_init,INFO,,infotainment_boot kernel init
2026-08-01T06:08:45.795000,60387067,infotainment_boot,services_started,INFO,,infotainment_boot services started
2026-08-01T06:08:46.129000,60387067,infotainment_boot,ui_ready,INFO,,infotainment_boot ui ready
2026-08-01T06:09:46.345000,402b9996,voice_assistant,wake_word_detected,INFO,,voice_assistant wake word detected
2026-08-01T06:09:46.774000,402b9996,voice_assistant,cloud_request_sent,INFO,,voice_assistant cloud request sent
2026-08-01T06:09:47.187000,402b9996,voice_assistant,response_received,INFO,,voice_assistant response received
2026-08-01T06:10:15.936000,0d1ae01b,voice_assistant,wake_word_detected,INFO,,voice_assistant wake word detected
2026-08-01T06:10:16.649000,0d1ae01b,voice_assistant,cloud_request_sent,INFO,,voice_assistant cloud request sent
2026-08-01T06:10:16.772000,0d1ae01b,voice_assistant,response_received,INFO,,voice_assistant response received
